Title,Model,Brand,Category,Price,Image URL,Product URL,Store
Aux Two Doors Refrigerator 415 L A++ H-D-W 71 X 69 X 178 Silver,AUX-54I,AUX,SIDE BY SIDE,399.0,https://smartbuy-me.com/cdn/shop/files/AHL0606ST0013_5e2b5a43-205e-447a-92ac-a49ce700fe1b.jpg?v=1722498634&width=1024,/products/ahl0606st0013,Smart Buy
"Samix Top Mount Refrigerate A+, Defrost, 208Lit, Black",Default Title,SmartBuy,TOP MOUNT,149.0,https://smartbuy-me.com/cdn/shop/files/167688-800-auto.jpg?v=1731581076&width=1024,/products/samix-top-mount-refrigerate-a-defrost-208lit-black,Smart Buy
"Daewoo Top Mount Refrigerators, A++,515 Lit, Silver, H1692 x D785 x W750, Silver",DE-TMF605 SS,DAEWOO,TOP MOUNT,625.0,https://smartbuy-me.com/cdn/shop/files/ZFD0606ST0002_4b3ae729-b3ef-4925-adfc-fdcf5f3fc042.jpg?v=1722504734&width=1024,/products/zfd0606st0002,Smart Buy
"General Spark Mini Bar, 76 Lit, A+, Black & Silver",BCD-102AB,General Sp,TOP MOUNT,135.0,https://smartbuy-me.com/cdn/shop/files/EFE0606ST0001-2_3a9c1b33-46e5-48be-89ad-1307e1c7ccda.jpg?v=1722499666&width=1024,/products/efe0606st0001,Smart Buy
"WHIRLPOOL Integrated Fridge, Freezer 273lit, 177Cm, White",ART6510,Whirlpool,BOTTOM FREEZER,579.0,https://smartbuy-me.com/cdn/shop/files/TCO0606ST0121.jpg?v=1725884309&width=1024,/products/tco0606st0121,Smart Buy
Ignis Freezer Silver Safety System 7 Draeers Frost A+ 60*54*186,CST251WS,IGNIS,UPRIGHT FREEZER,349.0,https://smartbuy-me.com/cdn/shop/files/SPE0607ST0002.jpg?v=1722965046&width=1024,/products/spe0607st0002,Smart Buy
"IGINS Dishwasher Freestanding Safety System A+++, 6Programmess, 13Sets, Silver",DWRI306X,IGNIS,FREE STAND,329.0,https://smartbuy-me.com/cdn/shop/files/SPE0614ST0003.jpg?v=1722965112&width=1024,/products/spe0614st0003,Smart Buy
"AEG built in fridge Net capacity freezing compartment,61 LTR, Net capacity",SCE81816TC,AEG,UPRIGHT FREEZER,1049.0,https://smartbuy-me.com/cdn/shop/files/KAT0606ST0017-1.jpg?v=1728375064&width=1024,/products/kat0606st0017,Smart Buy
Schubert Top Mount Freezer Fridge 70cm 448L No-frost Metal Dark Inox,SCH448BX,SCHUBERT,TOP MOUNT,390.0,https://smartbuy-me.com/cdn/shop/files/TCO0606ST0124-2.jpg?v=1727605614&width=1024,/products/tco0606st0124,Smart Buy
"Electromatic Mini Bar Fridge, 91Lit, Freezer, White",Default Title,ELECTROMAT,MINI BAR,88.0,https://smartbuy-me.com/cdn/shop/files/CON1.jpg?v=1730038034&width=1024,/products/electromatic-mini-bar-fridge-91lit-freezer-white,Smart Buy
Schubert Free-Standing Under Counter Fridge 49Cm 84Lit A+ Silve & Lock S.Steel,SCH-90DT,SCHUBERT,MINI BAR,110.0,https://smartbuy-me.com/cdn/shop/files/TCO0606ST0111.jpg?v=1722965457&width=1024,/products/tco0606st0111,Smart Buy
